"ID";"Sex";"Age";"CausesOfDeath";"Periods";"Deaths_1"
"1022190";"3000   ";"10000";"A010668";"1996JJ00";"890"
"1022191";"3000   ";"10000";"A010668";"1997JJ00";"736"
"1022192";"3000   ";"10000";"A010668";"1998JJ00";"757"
"1022193";"3000   ";"10000";"A010668";"1999JJ00";"814"
"1022194";"3000   ";"10000";"A010668";"2000JJ00";"788"
"1022195";"3000   ";"10000";"A010668";"2001JJ00";"773"
"1022196";"3000   ";"10000";"A010668";"2002JJ00";"829"
"1022197";"3000   ";"10000";"A010668";"2003JJ00";"873"
"1022198";"3000   ";"10000";"A010668";"2004JJ00";"873"
"1022199";"3000   ";"10000";"A010668";"2005JJ00";"849"
"1022200";"3000   ";"10000";"A010668";"2006JJ00";"892"
"1022201";"3000   ";"10000";"A010668";"2007JJ00";"870"
"1022202";"3000   ";"10000";"A010668";"2008JJ00";"927"
"1022203";"3000   ";"10000";"A010668";"2009JJ00";"968"
"1022204";"3000   ";"10000";"A010668";"2010JJ00";"1010"
"1022205";"3000   ";"10000";"A010668";"2011JJ00";"950"
"1022206";"3000   ";"10000";"A010668";"2012JJ00";"1092"
"1022207";"3000   ";"10000";"A010668";"2013JJ00";"1532"
"1022208";"3000   ";"10000";"A010668";"2014JJ00";"1471"
"1022209";"3000   ";"10000";"A010668";"2015JJ00";"1678"
"1022210";"3000   ";"10000";"A010668";"2016JJ00";"1444"
"1022211";"3000   ";"10000";"A010668";"2017JJ00";"1430"
"1022212";"3000   ";"10000";"A010668";"2018JJ00";"1546"
"1022213";"3000   ";"10000";"A010668";"2019JJ00";"1590"
"1022214";"3000   ";"10000";"A010668";"2020JJ00";"1400"
"1022215";"3000   ";"10000";"A010668";"2021JJ00";"1381"
"1026688";"3000   ";"10000";"A010840";"1996JJ00";"21244"
"1026689";"3000   ";"10000";"A010840";"1997JJ00";"20914"
"1026690";"3000   ";"10000";"A010840";"1998JJ00";"21077"
"1026691";"3000   ";"10000";"A010840";"1999JJ00";"21419"
"1026692";"3000   ";"10000";"A010840";"2000JJ00";"21172"
"1026693";"3000   ";"10000";"A010840";"2001JJ00";"21263"
"1026694";"3000   ";"10000";"A010840";"2002JJ00";"21473"
"1026695";"3000   ";"10000";"A010840";"2003JJ00";"21614"
"1026696";"3000   ";"10000";"A010840";"2004JJ00";"21765"
"1026697";"3000   ";"10000";"A010840";"2005JJ00";"21720"
"1026698";"3000   ";"10000";"A010840";"2006JJ00";"21756"
"1026699";"3000   ";"10000";"A010840";"2007JJ00";"22174"
