"ID","Sex","Age","CausesOfDeath","Year","Deaths"
1022190,"Male","Total","Infections",1996,890
1022191,"Male","Total","Infections",1997,736
1022192,"Male","Total","Infections",1998,757
1022193,"Male","Total","Infections",1999,814
1022194,"Male","Total","Infections",2000,788
1022195,"Male","Total","Infections",2001,773
1022196,"Male","Total","Infections",2002,829
1022197,"Male","Total","Infections",2003,873
1022198,"Male","Total","Infections",2004,873
1022199,"Male","Total","Infections",2005,849
1022200,"Male","Total","Infections",2006,892
1022201,"Male","Total","Infections",2007,870
1022202,"Male","Total","Infections",2008,927
1022203,"Male","Total","Infections",2009,968
1022204,"Male","Total","Infections",2010,1010
1022205,"Male","Total","Infections",2011,950
1022206,"Male","Total","Infections",2012,1092
1022207,"Male","Total","Infections",2013,1532
1022208,"Male","Total","Infections",2014,1471
1022209,"Male","Total","Infections",2015,1678
1022210,"Male","Total","Infections",2016,1444
1022211,"Male","Total","Infections",2017,1430
1022212,"Male","Total","Infections",2018,1546
1022213,"Male","Total","Infections",2019,1590
1022214,"Male","Total","Infections",2020,1400
1022215,"Male","Total","Infections",2021,1381
1026688,"Male","Total","Neoplasms",1996,21244
1026689,"Male","Total","Neoplasms",1997,20914
1026690,"Male","Total","Neoplasms",1998,21077
1026691,"Male","Total","Neoplasms",1999,21419
1026692,"Male","Total","Neoplasms",2000,21172
1026693,"Male","Total","Neoplasms",2001,21263
1026694,"Male","Total","Neoplasms",2002,21473
1026695,"Male","Total","Neoplasms",2003,21614
1026696,"Male","Total","Neoplasms",2004,21765
1026697,"Male","Total","Neoplasms",2005,21720
1026698,"Male","Total","Neoplasms",2006,21756
1026699,"Male","Total","Neoplasms",2007,22174
1026700,"Male","Total","Neoplasms",2008,22397
1026701,"Male","Total","Neoplasms",2009,23001
1026702,"Male","Total","Neoplasms",2010,23684
1026703,"Male","Total","Neoplasms",2011,23479
1026704,"Male","Total","Neoplasms",2012,24157
1026705,"Male","Total","Neoplasms",2013,23804
1026706,"Male","Total","Neoplasms",2014,24080
1026707,"Male","Total","Neoplasms",2015,24692
1026708,"Male","Total","Neoplasms",2016,25349
1026709,"Male","Total","Neoplasms",2017,25311
1026710,"Male","Total","Neoplasms",2018,25277
1026711,"Male","Total","Neoplasms",2019,25300
1026712,"Male","Total","Neoplasms",2020,25341
1026713,"Male","Total","Neoplasms",2021,25282
1031186,"Male","Total","Endocr+Metabol",1996,1554
1031187,"Male","Total","Endocr+Metabol",1997,1445
1031188,"Male","Total","Endocr+Metabol",1998,1538
1031189,"Male","Total","Endocr+Metabol",1999,1627
1031190,"Male","Total","Endocr+Metabol",2000,1598
1031191,"Male","Total","Endocr+Metabol",2001,2063
1031192,"Male","Total","Endocr+Metabol",2002,1919
1031193,"Male","Total","Endocr+Metabol",2003,1774
1031194,"Male","Total","Endocr+Metabol",2004,1847
1031195,"Male","Total","Endocr+Metabol",2005,1847
1031196,"Male","Total","Endocr+Metabol",2006,1762
1031197,"Male","Total","Endocr+Metabol",2007,1673
1031198,"Male","Total","Endocr+Metabol",2008,1714
1031199,"Male","Total","Endocr+Metabol",2009,1611
